city_region,district,village
KOTA JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT
KOTA JAKARTA TIMUR,CIPAYUNG,CEGER
KOTA JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI
KOTA JAKARTA TIMUR,CAKUNG,PENGGILINGAN
KOTA JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT
KOTA JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG
KOTA JAKARTA BARAT,KEMBANGAN,MERUYA UTARA
KOTA JAKARTA UTARA,KOJA,RAWABADAK SELATAN
BOGOR,NANGGUNG,BANTAR KARET
BOGOR,CIBUNGBULANG,CIBATOK 2
BEKASI,CIKARANG BARAT,DANAUINDAH
BEKASI,BABELAN,MUARABAKTI
BEKASI,BABELAN,HURIPJAYA
BEKASI,TARUMAJAYA,PUSAKARAKYAT
BEKASI,SUKAWANGI,SUKABUDI
KOTA BEKASI,BEKASI SELATAN,PEKAYON JAYA
KOTA BEKASI,BEKASI UTARA,HARAPAN BARU
TANGERANG,MEKAR BARU,GANDA RIA
TANGERANG,PAKUHAJI,PAKU HAJI
KOTA JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG
KOTA JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR
KOTA JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN
KOTA JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA
KOTA JAKARTA BARAT,TAMAN SARI,TANGKI
KOTA JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT
KOTA JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS
KOTA JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR
KOTA JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR
KOTA JAKARTA BARAT,TAMAN SARI,KEAGUNGAN
KOTA JAKARTA BARAT,TAMAN SARI,GLODOK
KOTA JAKARTA PUSAT,SENEN,KENARI
KOTA JAKARTA PUSAT,KEMAYORAN,SUMUR BATU
KOTA JAKARTA BARAT,KEBON JERUK,KEBON JERUK
KOTA JAKARTA BARAT,KEBON JERUK,DURI KEPA
KOTA JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA
KOTA JAKARTA UTARA,PENJARINGAN,KAPUK MUARA
KOTA JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIUK
KOTA JAKARTA UTARA,CILINCING,MARUNDA
BOGOR,PAMIJAHAN,GUNUNG BUNDER 1
BOGOR,PAMIJAHAN,CIBITUNG WETAN
BOGOR,CIAWI,JAMBU LUWUK
BOGOR,CISARUA,BATU LAYANG
BOGOR,RUMPIN,TAMAN SARI
BEKASI,TAMBUN UTARA,JEJALENJAYA
BEKASI,TARUMAJAYA,PANTAIMAKMUR
BEKASI,SUKAKARYA,SUKAINDAH
KOTA DEPOK,BOJONGSARI,BOJONGSARI LAMA
TANGERANG,BALARAJA,BALA RAJA
KOTA TANGERANG,LARANGAN,KEREO
KOTA TANGERANG SELATAN,PONDOK AREN,JURANG MANGGU TIMUR
KOTA JAKARTA TIMUR,PULO GADUNG,PULO GADUNG
KOTA JAKARTA SELATAN,TEBET,MANGGARAI
KOTA JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI
KOTA JAKARTA TIMUR,PASAR REBO,BARU
KOTA JAKARTA TIMUR,MAKASAR,MAKASAR
KOTA JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA
KOTA JAKARTA TIMUR,CAKUNG,CAKUNG BARAT
KOTA JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU
BOGOR,CIAMPEA,CIHIDEUNG UDIK
BOGOR,CARIU,TEGAL PANJANG
BOGOR,TANJUNGSARI,TANJUNG SARI
BOGOR,CITEUREUP,PASIR MUKTI
BOGOR,CIGUDEG,BANYU WANGI
BOGOR,CIGUDEG,BATU JAJAR
BEKASI,PEBAYURAN,SUMBERURIP
BEKASI,SETU,BURANGKENG
BEKASI,MUARA GEMBONG,PANTAIBAKTI
BEKASI,KARANGBAHAGIA,KARANGRAHAYU
BEKASI,SUKAKARYA,SUKAKARSA
BEKASI,SUKAWANGI,SUKAKERTA
